perf_sec	score_beat
0.377324	0.000000
0.841723	1.000000
1.346757	2.000000
1.875011	3.000000
2.914104	5.000000
3.424943	6.000000
5.044535	9.000000
5.508934	10.000000
6.019773	11.000000
6.501587	12.000000
7.238821	13.500000
7.540680	14.000000
8.005079	15.000000
8.533333	16.000000
9.496961	18.000000
11.133968	21.000000
11.604172	22.000000
12.068571	23.000000
12.538776	24.000000
13.519819	26.000000
13.955193	27.000000
15.621224	30.000000
16.044989	31.000000
16.497778	32.000000
17.014422	33.000000
18.384399	36.000000
18.883628	37.000000
19.951746	39.000000
21.455238	42.000000
21.948662	43.000000
22.424671	44.000000
22.900680	45.000000
23.788844	47.000000
24.259048	48.000000
25.692880	51.000000
26.174694	52.000000
26.662313	53.000000
27.138322	54.000000
27.991655	56.000000
28.456054	57.000000
29.994376	60.000000
30.447166	61.000000
30.934785	62.000000
31.416599	63.000000
32.380227	65.000000
32.862041	66.000000
34.359728	69.000000
34.824127	70.000000
35.288526	71.000000
35.781950	72.000000
36.826848	74.000000
37.343492	75.000000
